epoch,learning_rate,train_overall_loss,train_classification_loss,train_boundary_loss,train_adapter_contrastive_loss,train_clip_contrastive_loss,val_frame_accuracy,val_frame_f1,val_frame_auc,val_video_accuracy,val_video_f1,val_video_auc
1,0.0002,23.52279027601083,0.08928717012517243,0.003939576309615707,0.7328240955455436,0.7185521402189301,0.9669495310406432,0.9671257219013771,0.9932997827102119,0.9821428571428571,0.9822064056939501,0.996530612244898
2,0.0002,20.747121598323186,0.044261009471566165,0.0038804002315575617,0.6698284038032095,0.6131863365208523,0.9676194729790085,0.9669929433189165,0.992276368354165,0.975,0.9743589743589743,0.9962244897959183
3,0.0002,20.596168719894358,0.03538547790609677,0.0038789751723824237,0.6666813751682639,0.6132891418929729,0.9622599374720857,0.9615821777676745,0.9927551120349978,0.9785714285714285,0.9781021897810219,0.9982142857142857
4,0.0002,20.661331193811364,0.0222352596557312,0.0038777631181599443,0.6617886460179256,0.6427653051395383,0.968736042876284,0.9683544303797469,0.9933455625746915,0.9785714285714285,0.9782608695652174,0.9971938775510205
5,0.0002,20.634904348519115,0.016749915312248218,0.003877374300868218,0.6560533318461643,0.6570863698919615,0.9604734256364449,0.9606579239831073,0.9946174249534372,0.9892857142857143,0.989247311827957,0.9983163265306122
6,0.0002,20.916333642933104,0.01363842670320152,0.0038775521084769733,0.653105944291585,0.6942320058225757,0.9620366234926306,0.9611872146118722,0.9918818037705452,0.9714285714285714,0.9708029197080292,0.9958673469387755
7,0.0002,21.177855172587766,0.012442866374879298,0.0038770778398126518,0.6503626606116693,0.7270757723496192,0.9656096471639125,0.9650951949229375,0.9910738240708733,0.975,0.9745454545454545,0.9962755102040817
8,0.0002,21.329731284909776,0.011317958553790067,0.003876895112221569,0.6494279213146203,0.745261425167943,0.9564537740062528,0.9549341345042754,0.992115291053218,0.9642857142857143,0.9629629629629629,0.9955102040816326
9,0.0002,21.354681030578085,0.009757838908120518,0.0038766364666419878,0.648308560024533,0.7515604143341382,0.9676194729790085,0.9673349853570624,0.9923474817384221,0.9857142857142858,0.9856115107913669,0.9956122448979593
10,0.0002,21.429877914819453,0.008829672317702902,0.003876726883431224,0.6462490017732813,0.7641255782968882,0.9620366234926306,0.9614337568058077,0.9906481411479994,0.975,0.9745454545454545,0.9951530612244899
11,0.0002,21.437416407631503,0.007743785607964967,0.0038767474651346372,0.641893422158642,0.774676060428222,0.9611433675748102,0.9602376599634369,0.9931569575120969,0.975,0.9743589743589743,0.9978061224489796
12,0.0002,21.444459109339448,0.0070074624230602595,0.0038761681385949486,0.6333828569286399,0.7931493725575921,0.9673961589995533,0.9669832654907282,0.9924732516929076,0.9821428571428571,0.982078853046595,0.9956632653061226
13,0.0002,21.435674335890347,0.008292311220002591,0.0038758981061417013,0.6296725784221457,0.7984120037147983,0.9577936578829834,0.9568985176738882,0.9877704926731271,0.975,0.9745454545454545,0.9937244897959185
14,0.0002,21.369309334788056,0.007660498087948823,0.00387621394909527,0.6285818913227155,0.79458237439394,0.9551138901295221,0.9554422522722235,0.9917759814694278,0.9785714285714285,0.9785714285714285,0.9967857142857143
15,0.0002,21.449558079573844,0.006755490809000063,0.003875557266676171,0.6273821704710524,0.805924831273862,0.9651630192050022,0.9644484958979034,0.9922722790852245,0.9785714285714285,0.9782608695652174,0.9968367346938776
