epoch,learning_rate,adapter_learning_rate,classifier_learning_rate,train_loss,train_frame_accuracy,train_frame_f1,train_frame_auc,train_video_auc,val_loss,val_frame_accuracy,val_frame_precision,val_frame_recall,val_frame_f1,val_frame_auc,val_video_accuracy,val_video_precision,val_video_recall,val_video_f1,val_video_auc
1,0.0003,0.0003,0.0001,0.15874133557818584,0.9375379807274937,0.9368055860524351,0.9852845289860316,0.9973630401234568,0.23534552506060938,0.8997320232246538,0.9413214990138067,0.8526127735596248,0.8947738457932974,0.9683789798809963,0.9214285714285714,0.9609375,0.8785714285714286,0.917910447761194,0.9802551020408163
2,0.0002967221401100708,0.0002967221401100708,9.890738003669029e-05,0.1550113999530025,0.9377984200017363,0.9370469621754601,0.9858937354696031,0.9972550154320987,0.24228983847303762,0.9008485931219294,0.9380185456320156,0.8584189370254578,0.8964552238805971,0.9668024170970538,0.9178571428571428,0.9534883720930233,0.8785714285714286,0.9144981412639405,0.9784693877551021
3,0.0002870318186463901,0.0002870318186463901,9.567727288213005e-05,0.14902919615212284,0.9416181960239605,0.9410372188856253,0.9867160820744342,0.9980671296296296,0.2301360878189955,0.9024117909781152,0.9356866537717602,0.8642251004912908,0.898537264917576,0.9703875090986234,0.9285714285714286,0.9615384615384616,0.8928571428571429,0.9259259259259259,0.9815816326530612
4,0.0002713525491562421,0.0002713525491562421,9.045084971874738e-05,0.14518159447357995,0.9428769858494661,0.9424120427096097,0.987201448578071,0.9986226851851852,0.24734819148363094,0.9026351049575704,0.9152464302164901,0.8874497543546226,0.9011337868480725,0.9657776064052712,0.9321428571428572,0.9481481481481482,0.9142857142857143,0.9309090909090909,0.9771938775510205
5,0.00025036959095382875,0.00025036959095382875,8.345653031794292e-05,0.13653215535980504,0.9461758833232051,0.945775756515655,0.9886875961659045,0.9991222993827161,0.261858908259054,0.9035283608753908,0.917706888580675,0.8865564984368022,0.9018627896410722,0.9647097087822136,0.9285714285714286,0.9477611940298507,0.9071428571428571,0.927007299270073,0.9746428571428571
