dataset,level,sample_count,real_count,fake_count,accuracy,precision,recall,f1,auc,threshold
HiDF,frame,626,313,313,0.865814696485623,0.9711934156378601,0.7539936102236422,0.8489208633093526,0.9735018220049199,0.5
HiDF,video,626,313,313,0.865814696485623,0.9711934156378601,0.7539936102236422,0.8489208633093526,0.9735018220049199,0.5
CelebDF_v2,frame,1068,534,534,0.6750936329588015,0.8978723404255319,0.3951310861423221,0.5487646293888166,0.7868254569428663,0.5
CelebDF_v2,video,356,178,178,0.6769662921348315,0.8987341772151899,0.398876404494382,0.5525291828793775,0.8063060219669234,0.5
