dataset,level,accuracy,precision,recall,f1,auc,auc_drop_vs_ffpp
FFPP,frame,0.9370535714285714,0.9631031220435194,0.9089285714285714,0.9352319706017456,0.9814280731823981,0.0
FFPP,video,0.9535714285714286,0.9774436090225563,0.9285714285714286,0.9523809523809523,0.9877551020408163,0.0
HiDF,frame,0.865814696485623,0.9711934156378601,0.7539936102236422,0.8489208633093526,0.9735018220049199,0.00792625117747825
HiDF,video,0.865814696485623,0.9711934156378601,0.7539936102236422,0.8489208633093526,0.9735018220049199,0.014253280035896432
CelebDF_v2,frame,0.6750936329588015,0.8978723404255319,0.3951310861423221,0.5487646293888166,0.7868254569428663,0.1946026162395318
CelebDF_v2,video,0.6769662921348315,0.8987341772151899,0.398876404494382,0.5525291828793775,0.8063060219669234,0.18144908007389293
