sample_count,real_count,fake_count,predicted_fake_count,accuracy,precision,recall,specificity,f1,auc,threshold,tn,fp,fn,tp,distance_to_0_5
100,50,50,73,0.67,0.6164383561643836,0.9,0.44,0.7317073170731707,0.838,0.4449999999999996,22,28,5,45,0.05500000000000038
100,50,50,75,0.65,0.6,0.9,0.4,0.72,0.838,0.4439999999999996,20,30,5,45,0.05600000000000038
100,50,50,34,0.76,0.8823529411764706,0.6,0.92,0.7142857142857143,0.838,0.47299999999999964,46,4,20,30,0.027000000000000357
100,50,50,76,0.64,0.5921052631578947,0.9,0.38,0.7142857142857143,0.838,0.4429999999999996,19,31,5,45,0.057000000000000384
100,50,50,77,0.63,0.5844155844155844,0.9,0.36,0.7086614173228346,0.838,0.4419999999999996,18,32,5,45,0.058000000000000385
100,50,50,80,0.62,0.575,0.92,0.32,0.7076923076923077,0.838,0.43999999999999967,16,34,4,46,0.06000000000000033
100,50,50,83,0.61,0.5662650602409639,0.94,0.28,0.706766917293233,0.838,0.43799999999999967,14,36,3,47,0.06200000000000033
100,50,50,83,0.61,0.5662650602409639,0.94,0.28,0.706766917293233,0.838,0.43699999999999967,14,36,3,47,0.06300000000000033
100,50,50,83,0.61,0.5662650602409639,0.94,0.28,0.706766917293233,0.838,0.43599999999999967,14,36,3,47,0.06400000000000033
100,50,50,78,0.62,0.5769230769230769,0.9,0.34,0.703125,0.838,0.44099999999999967,17,33,5,45,0.05900000000000033
100,50,50,81,0.61,0.5679012345679012,0.92,0.3,0.7022900763358778,0.838,0.43899999999999967,15,35,4,46,0.06100000000000033
100,50,50,84,0.6,0.5595238095238095,0.94,0.26,0.7014925373134329,0.838,0.43499999999999966,13,37,3,47,0.06500000000000034
100,50,50,30,0.76,0.9333333333333333,0.56,0.96,0.7,0.838,0.4779999999999996,48,2,22,28,0.022000000000000408
100,50,50,33,0.75,0.8787878787878788,0.58,0.92,0.6987951807228916,0.838,0.47399999999999964,46,4,21,29,0.026000000000000356
100,50,50,85,0.59,0.5529411764705883,0.94,0.24,0.6962962962962963,0.838,0.43399999999999966,12,38,3,47,0.06600000000000034
100,50,50,31,0.75,0.9032258064516129,0.56,0.94,0.691358024691358,0.838,0.4769999999999996,47,3,22,28,0.02300000000000041
100,50,50,87,0.57,0.5402298850574713,0.94,0.2,0.6861313868613139,0.838,0.43299999999999966,10,40,3,47,0.06700000000000034
100,50,50,93,0.55,0.5268817204301075,0.98,0.12,0.6853146853146853,0.838,0.42599999999999966,6,44,1,49,0.07400000000000034
100,50,50,96,0.54,0.5208333333333334,1.0,0.08,0.684931506849315,0.838,0.42399999999999965,4,46,0,50,0.07600000000000035
100,50,50,96,0.54,0.5208333333333334,1.0,0.08,0.684931506849315,0.838,0.42299999999999965,4,46,0,50,0.07700000000000035
100,50,50,32,0.74,0.875,0.56,0.92,0.6829268292682927,0.838,0.4759999999999996,46,4,22,28,0.02400000000000041
100,50,50,32,0.74,0.875,0.56,0.92,0.6829268292682927,0.838,0.4749999999999996,46,4,22,28,0.02500000000000041
100,50,50,94,0.54,0.5212765957446809,0.98,0.1,0.6805555555555556,0.838,0.42499999999999966,5,45,1,49,0.07500000000000034
100,50,50,97,0.53,0.5154639175257731,1.0,0.06,0.6802721088435374,0.838,0.42199999999999965,3,47,0,50,0.07800000000000035
100,50,50,97,0.53,0.5154639175257731,1.0,0.06,0.6802721088435374,0.838,0.42099999999999965,3,47,0,50,0.07900000000000035
100,50,50,89,0.55,0.5280898876404494,0.94,0.16,0.6762589928057554,0.838,0.43199999999999966,8,42,3,47,0.06800000000000034
100,50,50,92,0.54,0.5217391304347826,0.96,0.12,0.676056338028169,0.838,0.42899999999999966,6,44,2,48,0.07100000000000034
100,50,50,92,0.54,0.5217391304347826,0.96,0.12,0.676056338028169,0.838,0.42799999999999966,6,44,2,48,0.07200000000000034
100,50,50,92,0.54,0.5217391304347826,0.96,0.12,0.676056338028169,0.838,0.42699999999999966,6,44,2,48,0.07300000000000034
100,50,50,98,0.52,0.5102040816326531,1.0,0.04,0.6756756756756757,0.838,0.41999999999999965,2,48,0,50,0.08000000000000035
100,50,50,98,0.52,0.5102040816326531,1.0,0.04,0.6756756756756757,0.838,0.41899999999999965,2,48,0,50,0.08100000000000035
100,50,50,98,0.52,0.5102040816326531,1.0,0.04,0.6756756756756757,0.838,0.41799999999999965,2,48,0,50,0.08200000000000035
100,50,50,98,0.52,0.5102040816326531,1.0,0.04,0.6756756756756757,0.838,0.41699999999999965,2,48,0,50,0.08300000000000035
100,50,50,98,0.52,0.5102040816326531,1.0,0.04,0.6756756756756757,0.838,0.41599999999999965,2,48,0,50,0.08400000000000035
100,50,50,90,0.54,0.5222222222222223,0.94,0.14,0.6714285714285714,0.838,0.43099999999999966,7,43,3,47,0.06900000000000034
100,50,50,99,0.51,0.5050505050505051,1.0,0.02,0.6711409395973155,0.838,0.41499999999999965,1,49,0,50,0.08500000000000035
100,50,50,99,0.51,0.5050505050505051,1.0,0.02,0.6711409395973155,0.838,0.41399999999999965,1,49,0,50,0.08600000000000035
100,50,50,99,0.51,0.5050505050505051,1.0,0.02,0.6711409395973155,0.838,0.41299999999999965,1,49,0,50,0.08700000000000035
100,50,50,99,0.51,0.5050505050505051,1.0,0.02,0.6711409395973155,0.838,0.41199999999999964,1,49,0,50,0.08800000000000036
100,50,50,99,0.51,0.5050505050505051,1.0,0.02,0.6711409395973155,0.838,0.41099999999999964,1,49,0,50,0.08900000000000036
100,50,50,91,0.53,0.5164835164835165,0.94,0.12,0.6666666666666666,0.838,0.42999999999999966,6,44,3,47,0.07000000000000034
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4099999999999997,0,50,0,50,0.0900000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4089999999999997,0,50,0,50,0.0910000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4079999999999997,0,50,0,50,0.0920000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4069999999999997,0,50,0,50,0.0930000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4059999999999997,0,50,0,50,0.0940000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4049999999999997,0,50,0,50,0.0950000000000003
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4039999999999997,0,50,0,50,0.09600000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4029999999999997,0,50,0,50,0.09700000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4019999999999997,0,50,0,50,0.09800000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.4009999999999997,0,50,0,50,0.09900000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3999999999999997,0,50,0,50,0.10000000000000031
100,50,50,100,0.5,0.5,1.0,0.0,0.6666666666666666,0.838,0.3989999999999997,0,50,0,50,0.10100000000000031
