,precision,recall,f1-score,support
Real,0.7130434782608696,0.82,0.7627906976744186,100.0
Fake,0.788235294117647,0.67,0.7243243243243244,100.0
accuracy,0.745,0.745,0.745,0.745
macro avg,0.7506393861892583,0.745,0.7435575109993715,200.0
weighted avg,0.7506393861892583,0.745,0.7435575109993715,200.0
